Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-11-16","2,752","12,896","9.83","28","999","193","35","58","1,355"
"2020-11-17","3,466","18,856","16.08","25","648","269","36","111","2,185"
"2020-11-18","2,751","10,285","7.71","13","897","352","9","6","1,418"
"2020-11-19","4,041","24,028","19.67","8","470","554","36","67","3,016"
"2020-11-20","2,757","9,964","7.44","19","919","345","2","9","1,386"
"2020-11-21","2,511","5,901","4.41","3","952","293","0","2","1,078"
"2020-11-22","2,906","11,769","10.37","42","1,021","291","12","56","1,560"
"2020-11-23","2,856","10,201","7.62","79","772","277","54","19","1,505"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-11-23 1:14AM","2020-11-23 6:32AM","294","24","19","318","37","220","37"
"2020-11-22 3:53AM","2020-11-22 4:53AM","58","2","0","60","N/A","N/A","N/A"
"2020-11-21 4:19AM","2020-11-21 7:33AM","168","25","10","193","14","131","23"
"2020-11-20 4:26AM","2020-11-20 7:11AM","148","17","1","165","N/A","N/A","N/A"
"2020-11-19 12:48AM","2020-11-19 6:01AM","273","40","14","313","47","207","19"
"2020-11-18 2:59AM","2020-11-18 5:55AM","167","9","0","176","N/A","N/A","N/A"
"2020-11-17 1:45AM","2020-11-17 8:01AM","338","38","23","376","69","224","45"
"2020-11-16 5:14AM","2020-11-16 7:49AM","146","9","1","155","N/A","N/A","N/A"

