Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-11-16","2,595","10,439","7.8","23","681","236","25","26","1,211"
"2020-11-17","2,961","13,996","10.43","0","628","250","17","56","1,599"
"2020-11-18","2,699","10,161","7.58","8","727","259","21","20","1,330"
"2020-11-19","2,967","15,238","11.36","8","597","282","22","57","1,663"
"2020-11-20","2,665","10,910","8.15","19","687","228","14","36","1,251"
"2020-11-21","2,748","11,696","8.74","19","429","279","29","19","1,425"
"2020-11-22","2,686","11,735","8.76","22","832","232","23","42","1,332"
"2020-11-23","2,691","11,007","8.2","24","626","308","7","16","1,393"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-11-22 10:57PM","2020-11-23 7:01AM","446","37","19","483","58","345","43"
"2020-11-21 9:09PM","2020-11-22 3:56AM","368","37","1","407","N/A","N/A","N/A"
"2020-11-20 11:01PM","2020-11-21 7:34AM","456","57","18","513","38","337","81"
"2020-11-19 11:01PM","2020-11-20 6:56AM","434","41","15","475","82","324","28"
"2020-11-18 11:06PM","2020-11-19 7:08AM","428","54","14","482","79","323","26"
"2020-11-18 12:21AM","2020-11-18 7:14AM","370","43","18","413","14","345","11"
"2020-11-16 11:00PM","2020-11-17 7:09AM","454","35","15","489","61","367","26"
"2020-11-15 11:08PM","2020-11-16 7:01AM","434","38","16","472","94","307","33"

