Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-11-16","2,659","11,010","8.2","21","842","174","21","54","1,249"
"2020-11-17","3,079","18,181","13.59","8","579","189","24","109","1,733"
"2020-11-18","2,514","10,353","7.73","10","728","174","13","49","1,092"
"2020-11-19","2,976","15,759","11.72","10","678","208","16","105","1,655"
"2020-11-20","2,537","10,426","7.59","2","813","184","14","47","1,119"
"2020-11-21","2,833","13,610","10.17","93","648","150","28","92","1,427"
"2020-11-22","2,640","11,195","8.35","6","726","190","8","58","1,240"
"2020-11-23","2,762","11,759","8.64","17","837","226","9","66","1,364"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2020-11-23 12:41AM","2020-11-23 5:43AM","251","51","20","302","24","185","42"
"2020-11-22 12:28AM","2020-11-22 8:06AM","407","51","19","458","37","361","9"
"2020-11-21 12:33AM","2020-11-21 9:15AM","448","74","29","522","67","305","76"
"2020-11-20 12:33AM","2020-11-20 6:55AM","354","28","19","382","83","223","48"
"2020-11-19 12:50AM","2020-11-19 8:03AM","363","70","31","433","22","316","25"
"2020-11-18 12:18AM","2020-11-18 8:14AM","423","53","22","476","91","270","62"
"2020-11-16 11:50PM","2020-11-17 8:49AM","473","66","26","539","68","316","89"
"2020-11-16 12:30AM","2020-11-16 6:19AM","319","30","14","349","66","212","41"

